model,learning_rate,hidden_channels,dropout,num_layers,weight_decay,epochs,validation_accuracy,best_epoch,training_time
GraphSAGE,0.01,64,0.4,3,0.0005,4,0.5119970440864563,4,18.17886972427368
GraphSAGE,0.01,32,0.2,2,0.0005,4,0.47578778862953186,4,11.327865362167358
GCN,0.01,32,0.2,2,0.0005,4,0.427598237991333,4,8.292657852172852
GraphSAGE,0.005,64,0.3,2,0.0005,4,0.4051813781261444,4,13.905022144317627
GCN,0.005,64,0.3,2,0.0005,4,0.3819255530834198,4,10.83591628074646
GCN,0.01,64,0.4,3,0.0005,4,0.3532668948173523,4,19.124939680099487
